battery_pack,hybrid_inverter,status,controller_available,verification_type,verification_date,battery_part_number,battery_revision,inverter_firmware_min,bms_ev_firmware_min,hardware_revision,source,notes
Tesla Model S & X (2021+) (100+ kWh),SMA Sunny Boy Storage 2.5 / 3.7 / 5.0 / 6.0,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),SMA Sunny Tripower Smart 5.0-10.0 SE,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),SMA Sunny Tripower X,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Sofar 5K...20KTL-3PH,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Sofar HYD (3-20)KTL-3PH,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),SolaX X1 Hybrid,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),SolaX X1 Hybrid G4,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),SolaX X3 Hybrid,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),SolaX X3 Hybrid G4,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),SolaX X3-Ultra Hybrid,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),SolaX X3-Ultra Hybrid G4,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Solis RHI-3P(5-10)K-HVES-5G / S6-EH1P10K-H-US-APST,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Solis RHI-3P(5-10)K-HVES-5G / S6-EH3P-(5-10.0K)-H-EU,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Solis S5-EH1P (3-6) K-L (5-6 kW 1P US),in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Solis S6-EH3P(8-15)K-H 8-15 kW 3P (5-6 kW 1P US),in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Solxpow X3 12-20kW,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Sungrow SH15T/SH20T/SH25T,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Sungrow SH3.0/3.6/4.0/5.0/6.0RS,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Tesla Model S & X (2021+) (100+ kWh),Sungrow SH5.0/6.0/8.0/10RT,in_catalog,yes,protocol_verified,,Tesla refresh/Plaid pack (part numbers not publicly available),2021+ refresh,,15.0.14,HW3.1,Tesla technical documentation + batterydesign.net,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Afore AF17K-THA 230V,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Deye SUN-(29.9-50)K-SG01HP3-EU-BM3,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Deye SUN-(5-20)K-SG01HP3-EU-AM2,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Felicity T-REX-50KHP3G01,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Ferroamp EnergyHub,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),FoxESS H1/AC1,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),FoxESS H3 Pro,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),FoxESS H3 Smart,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),FoxESS H3/AC3,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Fronius Primo Gen24 Plus,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Fronius Symo Gen24 Plus,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Fronius Symo Hybrid 3.0/4.0/5.0-3-S,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Fronius Verto Plus 15-33kW,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),GoodWe A-ES hybrid inverter (America Split Phase),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),GoodWe BH AC battery inverter,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),GoodWe BT AC battery inverter,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),GoodWe EH hybrid solar,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),GoodWe EHB high voltage battery,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),GoodWe EHB hybrid inverter (South Africa only),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),GoodWe ES hybrid solar,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),GoodWe ET hybrid solar,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),GoodWe SBP battery inverter,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Growatt HV Growatt SPH,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Growatt HV Growatt SPH (TL3-BH-UP) (5-10kW 3P),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Growatt LV Growatt SPH (4.6-10) (TL3-BH) (5-10kW 3P),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Growatt WIT 50-100K-HU,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Growatt WIT 50-100K-HU (TL3-BH-UP) (5-10kW 3P),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Hoymiles HYT/HAT-HV,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Kostal Plenticore Plus (3.0-10),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Maple Leaf Northern Fox H1-H3-AC1-KH,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SAJ H2 Hybrid (3-12)K-S2,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SMA Sunny Boy Smart Energy 3.6 / 4.0 / 5.0 / 6.0-50 Hybrid Inverter,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SMA Sunny Boy Smart Energy 3.6-6.0,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SMA Sunny Boy Storage 2.5,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SMA Sunny Boy Storage 2.5 / 3.7 / 5.0 / 6.0,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SMA Sunny Tripower Smart 5.0-10.0 SE,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SMA Sunny Tripower X,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Sofar 5K...20KTL-3PH,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Sofar HYD (3-20)KTL-3PH,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SolaX X1 Hybrid,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SolaX X1 Hybrid G4,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SolaX X3 Hybrid,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SolaX X3 Hybrid G4,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),SolaX X3-Ultra Hybrid,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Solis RHI-3P(5-10)K-HVES-5G / S6-EH1P10K-H-US-APST,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Solis RHI-3P(5-10)K-HVES-5G / S6-EH3P-(5-10.0K)-H-EU,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Solis S5-EH1P (3-6) K-L (5-6 kW 1P US),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Solis S6-EH3P(8-15)K-H 8-15 kW 3P (5-6 kW 1P US),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Solxpow Solxpow X3 12-20kW,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Sungrow SH15T/SH20T/SH25T,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Sungrow SH3.0/3.6/4.0/5.0/6.0RS,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace Electric (50/75 kWh) (Stellantis e-CMP),Sungrow SH5.0/6.0/8.0/10RT,in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace EV (2020-) (Stellantis e-CMP),Huawei SUN2000-(2-6)KTL-L1 (400V),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Toyota Proace EV (2020-) (Stellantis e-CMP),Huawei SUN2000-(3-20)K-MB0 (400V),in_catalog,yes,in_catalog,,,,,15.0.14,HW3.1,BMS-EV firmware supports this pair based on protocol translation,
Volkswagen MEB Platform (48/55/61/82 kWh),Afore AF17K-THA 230V,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),Deye SUN-(29.9-50)K-SG01HP3-EU-BM3,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),Deye SUN-(5-20)K-SG01HP3-EU-AM2,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),Felicity T-REX-50KHP3G01,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),Ferroamp EnergyHub,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),FoxESS H1/AC1,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),FoxESS H3 Pro,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),FoxESS H3 Smart,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),FoxESS H3/AC3,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),Fronius Primo Gen24 Plus,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),Fronius Symo Gen24 Plus,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),Fronius Symo Hybrid 3.0/4.0/5.0-3-S,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),Fronius Verto Plus 15-33kW,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),GoodWe A-ES hybrid inverter (America Split Phase),in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),GoodWe BH AC battery inverter,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),GoodWe BT AC battery inverter,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
Volkswagen MEB Platform (48/55/61/82 kWh),GoodWe EH hybrid solar,in_catalog,yes,protocol_verified,,VW 5WA915599x (55 kWh 8-module) / 5WA915599y (61 kWh 9-module) / 5WA915599z (82 kWh 12-module),"2020+ MEB1, 2023+ MEB2",,15.0.14,HW3.1,batterydesign.net VW ID.3/4/5 + dalathegreat MEB,
